Flight,Plane,Time,Age,Fitness,TechSavvy,Experience,Impatience,TimePressure,Luggage,KioskAffinity,Speed
MS9296,A220,2025-11-25T02:32:00+00:00,27,0.89,0.77,0,0.10,0.27,0.99,0.31,1.31
MS9296,A220,2025-11-25T02:32:00+00:00,57,0.31,0.49,4,0.24,0.18,0.88,0.10,1.03
MS9296,A220,2025-11-25T02:32:00+00:00,54,0.24,0.64,4,0.14,0.96,0.03,0.32,1.58
MS9296,A220,2025-11-25T02:32:00+00:00,54,0.28,0.73,6,0.40,0.08,0.20,0.41,1.26
MS9296,A220,2025-11-25T02:32:00+00:00,65,0.21,0.51,9,0.34,0.79,0.45,0.34,1.31
MS9296,A220,2025-11-25T02:32:00+00:00,18,1.00,0.95,0,0.28,0.64,0.19,0.52,1.99
MS9296,A220,2025-11-25T02:32:00+00:00,19,1.00,1.00,0,0.28,0.65,0.31,0.53,1.92
MS9296,A220,2025-11-25T02:32:00+00:00,30,0.76,0.88,0,0.17,0.59,0.59,0.41,1.56
MS9296,A220,2025-11-25T02:32:00+00:00,45,0.74,0.72,2,0.14,0.60,0.50,0.34,1.60
MS9296,A220,2025-11-25T02:32:00+00:00,59,0.49,0.50,5,0.11,0.90,0.68,0.11,1.43
MS9296,A220,2025-11-25T02:32:00+00:00,56,0.31,0.64,6,0.13,0.22,0.77,0.27,1.08
MS9296,A220,2025-11-25T02:32:00+00:00,49,0.39,0.76,5,0.41,0.86,0.89,0.38,1.24
MS9296,A220,2025-11-25T02:32:00+00:00,46,0.59,0.58,2,0.19,0.15,0.24,0.28,1.48
MS9296,A220,2025-11-25T02:32:00+00:00,43,0.61,0.85,5,0.26,0.13,0.58,0.49,1.32
MS9296,A220,2025-11-25T02:32:00+00:00,61,0.40,0.64,8,0.28,0.79,0.97,0.45,1.19
MS9296,A220,2025-11-25T02:32:00+00:00,46,0.48,0.68,5,0.39,0.53,0.98,0.34,1.16
MS9296,A220,2025-11-25T02:32:00+00:00,28,0.81,1.00,2,0.32,0.84,0.88,0.51,1.50
MS9296,A220,2025-11-25T02:32:00+00:00,57,0.48,0.57,6,0.21,0.71,0.16,0.27,1.64
MS9296,A220,2025-11-25T02:32:00+00:00,43,0.72,0.62,3,0.29,0.07,0.40,0.32,1.45
MS9296,A220,2025-11-25T02:32:00+00:00,43,0.53,0.73,2,0.10,0.07,0.33,0.37,1.37
MS9296,A220,2025-11-25T02:32:00+00:00,30,0.83,0.79,0,0.30,0.44,0.04,0.41,1.87
MS9296,A220,2025-11-25T02:32:00+00:00,52,0.47,0.54,4,0.27,0.08,0.87,0.20,1.09
MS9296,A220,2025-11-25T02:32:00+00:00,31,0.61,1.00,4,0.43,0.36,0.65,0.57,1.36
MS9296,A220,2025-11-25T02:32:00+00:00,61,0.48,0.51,8,0.24,0.06,0.54,0.41,1.24
MS9296,A220,2025-11-25T02:32:00+00:00,76,0.22,0.41,10,0.37,0.19,0.62,0.00,1.09
MS9296,A220,2025-11-25T02:32:00+00:00,26,0.96,1.00,1,0.34,0.97,0.41,0.53,1.95
MS9296,A220,2025-11-25T02:32:00+00:00,35,0.84,0.86,4,0.25,0.33,0.47,0.50,1.59
MS9296,A220,2025-11-25T02:32:00+00:00,59,0.31,0.55,4,0.13,0.19,1.00,0.08,0.98
MS9296,A220,2025-11-25T02:32:00+00:00,71,0.12,0.51,6,0.14,0.19,0.20,0.00,1.19
MS9296,A220,2025-11-25T02:32:00+00:00,69,0.05,0.30,7,0.20,0.18,0.83,0.00,0.90
MS9296,A220,2025-11-25T02:32:00+00:00,68,0.20,0.51,7,0.29,0.00,0.11,0.00,1.22
MS9296,A220,2025-11-25T02:32:00+00:00,44,0.58,0.68,6,0.38,0.28,0.28,0.44,1.49
MS9296,A220,2025-11-25T02:32:00+00:00,29,0.81,1.00,2,0.29,0.45,0.77,0.51,1.45
MS9296,A220,2025-11-25T02:32:00+00:00,61,0.48,0.65,5,0.10,0.62,0.78,0.15,1.29
